rank,image_path,image_id,select_category,mask_pixels,mask_fraction
45,000000459809.jpg,459809,kite,1958,0.007148072429906542
46,000000474854.jpg,474854,chair,1970,0.007259728773584905
47,000000007278.jpg,7278,surfboard,2002,0.006489885892116183
48,000000076211.jpg,76211,clock,2024,0.006325
49,000000128112.jpg,128112,person,2121,0.007797794117647059
50,000000161925.jpg,161925,pizza,2182,0.007102864583333333
51,000000366178.jpg,366178,fire hydrant,2372,0.012650666666666666
52,000000057149.jpg,57149,bus,2517,0.009210333723653395
53,000000268831.jpg,268831,sink,2566,0.0501171875
54,000000320696.jpg,320696,surfboard,2701,0.009883635831381733
55,000000467848.jpg,467848,person,2905,0.009456380208333334
56,000000086956.jpg,86956,baseball bat,2927,0.009527994791666666
57,000000398203.jpg,398203,sports ball,2935,0.010739900468384075
58,000000037740.jpg,37740,laptop,3146,0.010240885416666666
59,000000210388.jpg,210388,suitcase,3284,0.01204518779342723
60,000000350405.jpg,350405,snowboard,3356,0.020156156156156155
61,000000270677.jpg,270677,skateboard,3449,0.00850009858044164
62,000000335177.jpg,335177,truck,3845,0.01254240605427975
63,000000490171.jpg,490171,person,4202,0.015376170960187353
64,000000007818.jpg,7818,vase,4540,0.016612997658079626
65,000000084492.jpg,84492,skateboard,4655,0.01707379694835681
66,000000448365.jpg,448365,skateboard,4951,0.018074620327102803
67,000000106912.jpg,106912,person,5045,0.013469712503737878
68,000000349594.jpg,349594,donut,5271,0.02486320754716981
69,000000414133.jpg,414133,stop sign,5277,0.017177734375
70,000000248284.jpg,248284,umbrella,5522,0.020206381733021077
71,000000138492.jpg,138492,frisbee,5571,0.020385685011709603
72,000000328337.jpg,328337,frisbee,6061,0.022178717798594847
73,000000565776.jpg,565776,oven,6259,0.023229661520190025
74,000000058655.jpg,58655,clock,6338,0.023301470588235295
75,000000389197.jpg,389197,surfboard,6409,0.02350718896713615
76,000000351362.jpg,351362,sink,6425,0.02356587441314554
77,000000479953.jpg,479953,person,6501,0.02584685114503817
78,000000190236.jpg,190236,chair,7196,0.028610050890585242
79,000000110999.jpg,110999,bowl,7258,0.03158948467966574
80,000000271402.jpg,271402,tennis racket,7312,0.026945754716981133
81,000000208901.jpg,208901,airplane,7484,0.02738583138173302
82,000000091619.jpg,91619,stop sign,7611,0.02785055620608899
83,000000505573.jpg,505573,tie,7615,0.03314327994428969
84,000000379332.jpg,379332,tennis racket,7875,0.04715568862275449
85,000000232646.jpg,232646,stop sign,7975,0.0243377685546875
86,000000391722.jpg,391722,cake,8116,0.01997047244094488
87,000000088432.jpg,88432,fire hydrant,8519,0.027731119791666668
88,000000491366.jpg,491366,tv,8850,0.0472
89,000000131431.jpg,131431,clock,8886,0.03266911764705882
90,000000110282.jpg,110282,traffic light,9683,0.036195424641148326
91,000000351530.jpg,351530,bicycle,9750,0.04030257936507937
92,000000007088.jpg,7088,umbrella,9979,0.03261963912133891
93,000000578545.jpg,578545,book,10002,0.03297072784810127
94,000000361147.jpg,361147,tennis racket,10210,0.03825689448441247
95,000000277020.jpg,277020,dining table,10897,0.04729600694444445
96,000000542423.jpg,542423,bench,10970,0.040330882352941175
97,000000444275.jpg,444275,microwave,11196,0.0364453125
98,000000129322.jpg,129322,toilet,11442,0.03724609375
99,000000498857.jpg,498857,giraffe,11963,0.06380266666666666
100,000000179141.jpg,179141,dining table,12412,0.040403645833333335
